City/Town,Ward,Pct,"Bernie Sanders","Hillary Clinton","Martin J. O'Malley","Roque De La Fuente",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Morristown,,,"1,054",103,1,1,0,6,1,"1,166"
"Mount Holly",,,234,54,0,0,0,0,1,289
"Mount Tabor",,,31,2,1,0,0,0,0,34
"New Haven",,,426,46,2,0,2,0,0,476
Newark,,,86,8,1,0,3,0,0,98
Newbury,,,379,36,0,0,0,0,0,415
Newfane,,,448,67,2,0,0,1,0,518
"Newport City",,,477,84,2,0,2,0,0,565
"Newport Town",,,159,19,0,0,0,0,0,178
"N. Hero",,,216,37,1,0,1,0,4,259
Northfield,,,736,128,1,1,5,2,0,873
Norton,,,23,6,0,0,0,0,0,29
Norwich,,,"1,020",405,2,0,1,4,1,"1,433"
Orange,,,133,8,1,0,0,0,0,142
Orwell,,,174,32,0,0,1,0,0,207
Panton,,,116,17,1,0,1,0,0,135
Pawlet,,,285,31,0,1,1,0,0,318
Peacham,,,166,24,0,0,0,0,1,191
Peru,,,83,16,0,0,0,0,1,100
Pittsfield,,,107,10,0,0,0,0,1,118
Pittsford,,,381,68,0,0,1,0,0,450
Plainfield,,,312,28,0,0,0,0,0,340
Plymouth,,,114,27,0,0,0,0,0,141
Pomfret,,,235,55,0,0,0,0,0,290
Poultney,,,449,78,0,1,1,1,0,530
Pownal,,,469,105,2,1,0,5,0,582
Proctor,,,329,27,2,0,0,0,0,358
Putney,,,734,80,1,0,0,1,1,817
Randolph,,,906,85,2,0,2,0,4,999
Reading,,,163,28,0,0,1,0,0,192
Readsboro,,,112,41,0,0,1,2,0,156
Richford,,,258,31,2,1,1,0,0,293
Richmond,,,"1,125",146,1,0,2,1,0,"1,275"
Ripton,,,189,26,0,0,0,0,1,216
Rochester,,,294,28,1,0,1,0,1,325
Rockingham,,,"1,020",134,2,2,2,0,0,"1,160"
Roxbury,,,173,14,0,0,0,1,0,188
Royalton,,,502,77,0,0,2,0,0,581
Rupert,,,130,28,0,0,0,0,0,158
"Rutland City",,,"2,318",430,6,3,23,0,0,"2,780"
"Rutland Town",,,622,159,2,0,6,0,0,789
Ryegate,,,202,30,0,0,0,1,0,233
Salisbury,,,192,34,1,0,0,2,0,229
Sandgate,,,66,11,0,0,0,0,0,77
Searsburg,,,14,3,1,0,0,1,0,19
Shaftsbury,,,596,122,3,0,0,3,0,724
Sharon,,,330,38,0,0,0,2,0,370
Sheffield,,,107,5,0,0,0,0,0,112
Shelburne,,,"1,639",495,4,1,0,3,6,"2,148"
Sheldon,,,215,24,1,1,1,1,0,243
Shoreham,,,266,32,0,0,0,0,0,298
Shrewsbury,,,210,34,3,0,0,1,0,248
"S. Burlington",,,"3,671",888,8,2,14,7,3,"4,593"
"S. Hero",,,437,82,2,0,2,0,0,523
Springfield,,,"1,366",213,3,2,2,2,6,"1,594"
