City/Town,Ward,Pct,"George Gay","Gerard Colby",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Belvidere,,,6,10,0,5,0,21
Cambridge,,,50,210,22,50,0,332
Eden,,,20,40,6,17,0,83
Elmore,,,121,38,4,27,0,190
"Hyde Park",,,172,131,12,42,0,357
Johnson,,,109,105,3,29,0,246
Morristown,,,437,207,31,98,0,773
Stowe,,,522,69,11,54,0,656
Waterville,,,23,27,3,16,0,69
TOTALS,,,"1,460",837,92,338,0,"2,727"
