City/Town,Ward,Pct,"Tim Briglin","Jim Masland","Nick Clark",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Norwich,,,716,639,361,3,223,0,"1,942"
Sharon,,,166,162,73,1,65,3,470
Strafford,,,245,203,94,0,66,0,608
Thetford,,,530,501,137,0,114,0,"1,282"
TOTALS,,,"1,657","1,505",665,4,468,3,"4,302"
