City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Cambridge,,,-,38,294,0,332
Waterville,,,-,3,66,0,69
TOTALS,,,-,41,360,0,401
