City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Plainfield,,,218,1,17,1,237
Plymouth,,,64,1,8,0,73
Pomfret,,,198,1,6,1,206
Poultney,,,173,0,15,0,188
Pownal,,,169,0,18,0,187
Proctor,,,107,0,7,1,115
Putney,,,397,0,33,2,432
Randolph,,,501,1,37,3,542
Reading,,,114,4,17,1,136
Readsboro,,,51,1,9,0,61
Richford,,,110,2,6,0,118
Richmond,,,828,0,59,0,887
Ripton,,,120,0,8,0,128
Rochester,,,183,2,12,1,198
Rockingham,,,518,0,49,4,571
Roxbury,,,76,0,8,1,85
Royalton,,,284,1,31,0,316
Rupert,,,92,0,5,0,97
"Rutland City",-,"Rutland 5-1",340,0,36,1,377
"Rutland City",-,"Rutland 5-2",240,0,15,5,260
"Rutland City",-,"Rutland 5-3",132,0,13,0,145
"Rutland City",-,"Rutland 5-4",226,0,24,0,250
"Rutland Town",,,330,3,13,0,346
Ryegate,,,99,0,4,1,104
Salisbury,,,116,0,5,1,122
Sandgate,,,47,0,2,0,49
Searsburg,,,3,0,0,0,3
Shaftsbury,,,273,1,15,0,289
Sharon,,,226,1,8,0,235
Sheffield,,,45,0,6,0,51
Shelburne,-,"Chittenden 5-1",866,1,57,0,924
Shelburne,-,"Chittenden 5-2",497,5,29,0,531
Sheldon,,,85,0,5,0,90
Shoreham,,,156,0,10,0,166
Shrewsbury,,,134,0,7,0,141
"S. Burlington",-,"Chittenden 7-1",772,0,59,1,832
"S. Burlington",-,"Chittenden 7-2",706,2,67,5,780
"S. Burlington",-,"Chittenden 7-3",622,2,30,1,655
"S. Burlington",-,"Chittenden 7-4",579,2,51,1,633
"S. Hero",,,450,1,38,0,489
Springfield,-,"Windsor 3-1",29,1,6,0,36
Springfield,-,"Windsor 3-2",726,3,54,2,785
"St. Albans City",,,442,3,0,18,463
"St. Albans Town",-,"Franklin 3-1",127,2,6,0,135
"St. Albans Town",-,"Franklin 3-2",281,5,12,0,298
"St. George",,,68,0,4,1,73
"St. Johnsbury",,,452,2,21,2,477
Stamford,,,47,0,10,0,57
Stannard,,,31,0,1,0,32
Starksboro,,,262,0,11,0,273
Stockbridge,,,85,0,9,0,94
Stowe,,,597,3,53,3,656
Strafford,,,290,0,14,0,304
Stratton,,,14,0,0,0,14
Sudbury,,,60,0,4,0,64
Sunderland,-,"Bennington 3",16,0,0,0,16
Sunderland,-,"Bennington 4",48,0,6,0,54
Sutton,,,58,1,10,0,69
Swanton,,,318,2,15,0,335
Thetford,,,604,1,35,1,641
Tinmouth,-,"Rutland 2",16,0,0,0,16
Tinmouth,-,Rutland-Bennington,58,0,0,0,58
Topsham,,,66,1,2,0,69
Townshend,,,140,0,16,1,157
Troy,-,"Orleans 2",17,0,2,0,19
Troy,-,Orleans-Lamoille,90,3,7,0,100
Tunbridge,,,163,1,9,1,174
Underhill,,,488,1,30,0,519
Vergennes,,,257,0,24,0,281
Vernon,,,170,3,34,1,208
Vershire,,,85,0,3,0,88
Victory,,,5,0,1,1,7
Waitsfield,,,323,1,31,0,355
Walden,,,104,0,10,1,115
Wallingford,,,180,2,8,0,190
Waltham,,,70,0,0,0,70
Wardsboro,,,73,1,3,0,77
Warren,,,268,1,26,0,295
Washington,,,79,0,6,0,85
Waterbury,,,916,3,66,1,986
Waterford,,,59,0,5,1,65
Waterville,,,61,0,8,0,69
Weathersfield,,,298,3,32,0,333
Wells,,,63,0,4,0,67
"W. Fairlee",,,44,0,2,0,46
"W. Haven",,,18,0,2,0,20
"W. Rutland",,,100,3,6,0,109
"W. Windsor",,,201,1,20,0,222
Westfield,,,68,3,5,0,76
Westford,,,205,2,16,1,224
Westminster,-,"Windham 3",16,0,0,1,17
Westminster,-,"Windham 4",445,0,34,2,481
Westmore,,,32,0,4,0,36
Weston,,,124,0,13,1,138
Weybridge,,,183,0,6,0,189
Wheelock,,,66,0,7,0,73
Whiting,,,30,0,4,0,34
Whitingham,-,"Windham 6",73,0,6,0,79
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,185,1,17,1,204
Williston,,,"1,117",7,74,8,"1,206"
Wilmington,,,163,0,17,0,180
Windham,,,78,1,15,1,95
Windsor,,,462,5,35,1,503
Winhall,,,92,0,10,0,102
Winooski,,,744,8,107,3,862
Wolcott,,,147,0,10,0,157
Woodbury,,,138,1,10,0,149
Woodford,,,25,0,6,0,31
Woodstock,,,728,7,71,0,806
Worcester,,,243,1,22,0,266
TOTALS,,,"67,286",344,"5,410",122,"73,162"
