City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Pomfret,,,1,0,70,0,71
Poultney,,,0,0,169,0,169
Pownal,,,1,0,114,0,115
Proctor,,,4,1,135,0,140
Putney,,,1,0,60,0,61
Randolph,,,10,4,368,5,387
Reading,,,1,0,38,1,40
Readsboro,,,0,0,35,0,35
Richford,,,6,2,115,0,123
Richmond,,,5,3,318,0,326
Ripton,,,1,0,28,0,29
Rochester,,,9,0,81,2,92
Rockingham,,,4,0,129,1,134
Roxbury,,,0,1,77,0,78
Royalton,,,3,3,130,0,136
Rupert,,,0,0,50,0,50
"Rutland City",-,"Rutland 5-1",9,0,413,18,440
"Rutland City",-,"Rutland 5-2",4,0,294,10,308
"Rutland City",-,"Rutland 5-3",0,145,7,152
"Rutland City",-,"Rutland 5-4",9,0,248,5,262
"Rutland Town",,,6,8,509,0,523
Ryegate,,,3,3,98,1,105
Salisbury,,,3,0,75,0,78
Sandgate,,,1,0,31,0,32
Searsburg,,,0,0,10,0,10
Shaftsbury,,,4,0,149,0,153
Sharon,,,4,0,63,1,68
Sheffield,,,13,0,40,0,53
Shelburne,-,"Chittenden 5-1",8,4,417,0,429
Shelburne,-,"Chittenden 5-2",14,2,329,0,345
Sheldon,,,20,3,129,0,152
Shoreham,,,0,0,83,0,83
Shrewsbury,,,3,2,112,0,117
"S. Burlington",-,"Chittenden 7-1",4,2,347,6,359
"S. Burlington",-,"Chittenden 7-2",11,2,431,8,452
"S. Burlington",-,"Chittenden 7-3",5,0,248,0,253
"S. Burlington",-,"Chittenden 7-4",8,3,345,0,356
"S. Hero",,,11,0,264,0,275
Springfield,-,"Windsor 3-1",0,19,0,19
Springfield,-,"Windsor 3-2",7,412,0,433
"St. Albans City",,,28,15,0,378,421
"St. Albans Town",-,"Franklin 3-1",13,8,177,0,198
"St. Albans Town",-,"Franklin 3-2",67,9,386,0,462
"St. George",,,3,0,41,1,45
"St. Johnsbury",,,38,10,455,4,507
Stamford,,,0,0,30,0,30
Stannard,,,1,0,8,0,9
Starksboro,,,0,1,159,0,160
