City/Town,Ward,Pct,"Sandy Haas",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bethel,,,230,3,23,0,256
Pittsfield,,,51,0,10,0,61
Rochester,,,179,5,12,2,198
Stockbridge,,,81,0,13,0,94
TOTALS,,,541,8,58,2,609
