City/Town,Ward,Pct,"Scott Milne",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Plymouth,,,68,1,6,0,75
Pomfret,,,61,2,8,0,71
Poultney,,,139,0,30,0,169
Pownal,,,90,3,22,0,115
Proctor,,,114,5,21,0,140
Putney,,,51,0,10,0,61
Randolph,,,322,5,56,4,387
Reading,,,33,0,7,0,40
Readsboro,,,25,2,8,0,35
Richford,,,103,4,16,0,123
Richmond,,,270,3,50,3,326
Ripton,,,20,0,9,0,29
Rochester,,,70,7,13,2,92
Rockingham,,,96,4,34,0,134
Roxbury,,,62,0,16,0,78
Royalton,,,127,1,8,0,136
Rupert,,,45,1,4,0,50
"Rutland City",-,"Rutland 5-1",346,0,85,9,440
"Rutland City",-,"Rutland 5-2",253,0,52,3,308
"Rutland City",-,"Rutland 5-3",120,0,29,3,152
"Rutland City",-,"Rutland 5-4",202,6,54,0,262
"Rutland Town",,,425,4,94,0,523
Ryegate,,,83,3,18,1,105
Salisbury,,,71,1,6,0,78
Sandgate,,,29,0,3,0,32
Searsburg,,,10,0,0,0,10
Shaftsbury,,,113,6,34,0,153
Sharon,,,60,1,7,0,68
Sheffield,,,40,6,7,0,53
Shelburne,-,"Chittenden 5-1",336,9,84,0,429
Shelburne,-,"Chittenden 5-2",281,9,55,0,345
Sheldon,,,112,12,28,0,152
Shoreham,,,65,0,18,0,83
Shrewsbury,,,100,1,16,0,117
"S. Burlington",-,"Chittenden 7-1",280,8,69,2,359
"S. Burlington",-,"Chittenden 7-2",356,11,85,0,452
"S. Burlington",-,"Chittenden 7-3",196,6,50,1,253
"S. Burlington",-,"Chittenden 7-4",287,4,65,0,356
"S. Hero",,,215,6,54,0,275
Springfield,-,"Windsor 3-1",14,0,5,0,19
Springfield,-,"Windsor 3-2",380,6,47,0,433
"St. Albans City",,,323,28,1,69,421
"St. Albans Town",-,"Franklin 3-1",159,7,32,0,198
"St. Albans Town",-,"Franklin 3-2",359,38,65,0,462
"St. George",,,35,1,8,1,45
"St. Johnsbury",,,416,14,75,2,507
Stamford,,,24,1,5,0,30
Stannard,,,8,0,1,0,9
Starksboro,,,138,1,21,0,160
Stockbridge,,,58,1,11,0,70
Stowe,,,329,15,77,0,421
Strafford,,,46,0,7,0,53
Stratton,,,23,0,1,0,24
Sudbury,,,46,1,9,0,56
Sunderland,-,"Bennington 3",7,0,2,0,9
Sunderland,-,"Bennington 4",29,1,12,0,42
Sutton,,,64,3,8,0,75
Swanton,,,445,18,76,0,539
Thetford,,,110,3,14,0,127
Tinmouth,-,"Rutland 2",6,0,0,0,6
Tinmouth,-,Rutland-Bennington,25,0,0,0,25
Topsham,,,86,1,26,1,114
Townshend,,,40,3,11,1,55
Troy,-,"Orleans 2",20,0,4,0,24
Troy,-,Orleans-Lamoille,44,6,13,0,63
Tunbridge,,,113,6,12,0,131
Underhill,,,268,3,46,0,317
Vergennes,,,156,3,27,0,186
Vernon,,,220,12,64,0,296
Vershire,,,48,0,9,0,57
Victory,,,18,3,2,0,23
Waitsfield,,,148,5,37,0,190
Walden,,,94,2,11,0,107
Wallingford,,,142,2,16,1,161
Waltham,,,40,0,9,0,49
Wardsboro,,,35,2,7,0,44
Warren,,,98,1,22,1,122
Washington,,,100,3,13,0,116
Waterbury,,,352,9,89,0,450
Waterford,,,127,1,18,1,147
Waterville,,,62,0,12,0,74
Weathersfield,,,203,1,24,0,228
Wells,,,72,0,15,0,87
"W. Fairlee",,,28,0,5,0,33
"W. Haven",,,17,0,1,0,18
"W. Rutland",,,157,4,25,0,186
"W. Windsor",,,73,2,5,0,80
Westfield,,,40,4,12,0,56
Westford,,,160,2,28,0,190
Westminster,-,"Windham 3",6,0,1,0,7
Westminster,-,"Windham 4",89,1,12,0,102
Westmore,,,36,0,8,0,44
Weston,,,38,0,10,2,50
Weybridge,,,61,1,10,0,72
Wheelock,,,69,1,14,1,85
Whiting,,,21,2,6,0,29
Whitingham,-,"Windham 6",46,3,7,0,56
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,307,24,28,0,359
Williston,,,706,12,139,5,862
Wilmington,,,75,1,19,0,95
Windham,,,15,0,0,0,15
Windsor,,,109,1,10,0,120
Winhall,,,62,2,17,1,82
Winooski,,,172,1,45,1,219
Wolcott,,,99,9,23,0,131
Woodbury,,,102,1,16,0,119
Woodford,,,8,2,1,0,11
Woodstock,,,158,4,22,0,184
Worcester,,,72,3,19,0,94
TOTALS,,,"37,782","1,223","7,241",148,"46,394"
