City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Calais,,,341,8,46,0,395
Marshfield,,,175,1,23,2,201
Plainfield,,,199,8,26,4,237
TOTALS,,,715,17,95,6,833
