City/Town,Ward,Pct,"Michael J. Marcotte","Gary G. Viens",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Coventry,,,95,79,2,50,0,226
Irasburg,,,93,78,22,43,0,236
"Newport City",,,247,254,2,85,4,592
"Newport Town",,,102,101,4,25,2,234
Troy,,,16,20,1,11,0,48
TOTALS,,,553,532,31,214,6,"1,336"
