City/Town,Ward,Pct,"Patricia A. McCoy",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Ira,,,42,0,8,0,50
Poultney,,,150,0,19,0,169
TOTALS,,,192,0,27,0,219
