City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Sheffield,,,17,0,36,0,53
Shelburne,-,"Chittenden 5-1",12,8,409,0,429
Shelburne,-,"Chittenden 5-2",10,8,324,3,345
Sheldon,,,26,5,121,0,152
Shoreham,,,0,1,82,0,83
Shrewsbury,,,2,5,110,0,117
"S. Burlington",-,"Chittenden 7-1",8,4,342,5,359
"S. Burlington",-,"Chittenden 7-2",13,10,428,1,452
"S. Burlington",-,"Chittenden 7-3",4,2,244,3,253
"S. Burlington",-,"Chittenden 7-4",8,6,342,0,356
"S. Hero",,,11,5,259,0,275
Springfield,-,"Windsor 3-1",1,18,0,19
Springfield,-,"Windsor 3-2",17,401,0,433
"St. Albans City",,,37,26,0,358,421
"St. Albans Town",-,"Franklin 3-1",17,7,174,0,198
"St. Albans Town",-,"Franklin 3-2",69,19,374,0,462
"St. George",,,3,0,41,1,45
"St. Johnsbury",,,31,15,455,6,507
Stamford,,,2,0,28,0,30
Stannard,,,2,0,7,0,9
Starksboro,,,2,5,153,0,160
Stockbridge,,,7,3,59,1,70
Stowe,,,22,5,393,1,421
Strafford,,,2,0,50,1,53
Stratton,,,0,0,24,0,24
Sudbury,,,3,1,52,0,56
Sunderland,-,"Bennington 3",0,9,0,9
Sunderland,-,"Bennington 4",0,42,0,42
Sutton,,,5,1,69,0,75
Swanton,,,33,18,488,0,539
Thetford,,,6,0,120,1,127
Tinmouth,-,"Rutland 2",0,6,0,6
Tinmouth,-,Rutland-Bennington,0,25,0,25
Topsham,,,3,0,110,1,114
Townshend,,,1,2,52,0,55
Troy,-,"Orleans 2",3,1,20,0,24
Troy,-,Orleans-Lamoille,13,0,50,0,63
Tunbridge,,,20,3,107,1,131
Underhill,,,2,9,306,0,317
Vergennes,,,7,3,176,0,186
Vernon,,,30,9,257,0,296
Vershire,,,0,1,56,0,57
Victory,,,7,1,15,0,23
Waitsfield,,,4,4,182,0,190
Walden,,,3,5,99,0,107
Wallingford,,,2,2,157,0,161
Waltham,,,6,4,39,0,49
Wardsboro,,,0,2,42,0,44
Warren,,,0,8,113,1,122
Washington,,,0,9,107,0,116
