City/Town,Ward,Pct,"Larry G. Fiske",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Enosburgh,,,159,2,13,0,174
Montgomery,,,76,4,4,0,84
TOTALS,,,235,6,17,0,258
