City/Town,Ward,Pct,"Sarah E. Buxton",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Royalton,,,256,18,41,1,316
Tunbridge,,,142,15,17,0,174
TOTALS,,,398,33,58,1,490
