City/Town,Ward,Pct,"Patrick Seymour",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Burke,,,79,1,127,1,208
Lyndon,,,163,12,219,0,394
Sutton,,,64,9,65,0,138
TOTALS,,,306,22,411,1,740
