City/Town,Ward,Pct,"Donald Collins","Andrew Judge",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Sheldon,,,64,44,20,52,0,180
Swanton,,,275,177,19,199,0,670
TOTALS,,,339,221,39,251,0,850
