City/Town,Ward,Pct,"Peter Conlon",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cornwall,,,222,1,18,1,242
Goshen,,,32,0,8,0,40
Hancock,,,35,0,7,0,42
Leicester,,,64,0,19,0,83
Ripton,,,105,0,23,0,128
Salisbury,,,109,0,13,0,122
TOTALS,,,567,1,88,1,657
