City/Town,Ward,Pct,"Stuart Lindberg",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cavendish,,,91,1,15,0,107
Weathersfield,,,190,1,37,0,228
TOTALS,,,281,2,52,0,335
