City/Town,Ward,Pct,"Joshua Aldrich",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Berkshire,,,52,19,91,0,162
Franklin,,,60,23,75,0,158
Highgate,,,136,55,168,1,360
Richford,,,82,6,148,0,236
TOTALS,,,330,103,482,1,916
