City/Town,Ward,Pct,"John ""Jack"" Stannard",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Danby,,,114,1,26,0,141
Dorset,,,100,5,87,0,192
Landgrove,,,14,0,4,0,18
"Mount Tabor",,,10,1,2,0,13
Peru,,,22,0,4,0,26
TOTALS,,,260,7,123,0,390
