City/Town,Ward,Pct,"Bill Lawrence","Debbie Rackliff",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Jericho,,,324,382,2,248,0,956
Underhill,,,273,191,1,169,0,634
TOTALS,,,597,573,3,417,0,"1,590"
