City/Town,Ward,Pct,"Steve Beyor","Albert Pearce",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Berkshire,,,83,97,6,34,0,220
Franklin,,,98,94,6,60,0,258
Highgate,,,244,186,25,91,0,546
Richford,,,67,112,3,64,0,246
TOTALS,,,492,489,40,249,0,"1,270"
