City/Town,Ward,Pct,"Penny Dubie",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bakersfield,,,64,8,15,0,87
Fairfield,,,136,4,0,22,162
Fletcher,,,85,1,30,0,116
TOTALS,,,285,13,45,22,365
