City/Town,Ward,Pct,"Vicki Strong","Frank E. Huard",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Albany,,,100,49,2,61,0,212
Barton,,,160,101,13,102,0,376
Craftsbury,,,84,27,9,80,2,202
Glover,,,92,48,7,69,0,216
Greensboro,,,40,18,1,39,0,98
Sheffield,,,39,26,6,35,0,106
Wheelock,,,64,50,2,52,2,170
TOTALS,,,579,319,40,438,4,"1,380"
