City/Town,Ward,Pct,"David M. Ainsworth",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Royalton,,,129,1,6,0,136
Tunbridge,,,118,3,10,0,131
TOTALS,,,247,4,16,0,267
