City/Town,Ward,Pct,"Cindy Weed",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Enosburgh,,,136,15,19,0,170
Montgomery,,,121,2,14,0,137
TOTALS,,,257,17,33,0,307
