City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Duxbury,,,-,0,2,0,2
Fayston,,,-,1,3,0,4
Moretown,,,-,1,5,0,6
Waitsfield,,,-,2,0,0,2
Warren,,,-,1,1,0,2
TOTALS,,,-,5,11,0,16
