City/Town,Ward,Pct,"Dan Connor",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bakersfield,,,108,5,14,0,127
Fairfield,,,150,9,16,0,175
Fletcher,,,117,2,29,0,148
TOTALS,,,375,16,59,0,450
