City/Town,Ward,Pct,"Corey Parent","Claude Bouchard",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
"St. Albans City",,,368,239,14,0,221,842
"St. Albans Town",,,176,120,5,95,0,396
TOTALS,,,544,359,19,95,221,"1,238"
