City/Town,Ward,Pct,"Dennis J. Devereux",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Ludlow,,,138,6,20,0,164
"Mount Holly",,,106,4,15,0,125
Shrewsbury,,,102,1,13,1,117
TOTALS,,,346,11,48,1,406
