City/Town,Ward,Pct,"Charlie Kimbell","Ron Miller",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Plymouth,,,26,34,0,13,0,73
Reading,,,78,44,2,11,1,136
Woodstock,,,456,335,0,15,0,806
TOTALS,,,560,413,2,39,1,"1,015"
