City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Duxbury,,,170,1,261,0,432
Fayston,,,152,7,219,0,378
Moretown,,,238,3,306,3,550
Waitsfield,,,304,8,398,0,710
Warren,,,250,9,331,0,590
TOTALS,,,"1,114",28,"1,515",3,"2,660"
