City/Town,Ward,Pct,"Logan Nicoll",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Ludlow,,,207,4,27,0,238
"Mount Holly",,,112,2,32,0,146
Shrewsbury,,,108,3,30,0,141
TOTALS,,,427,9,89,0,525
