City/Town,Ward,Pct,"Joey A. Purvis","Patrick Liebrecht",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Colchester,,,366,201,9,344,0,920
TOTALS,,,366,201,9,344,0,920
