City/Town,Ward,Pct,"Jane Kitchel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Barnet,,,165,5,188,0,358
Bradford,,,212,6,256,0,474
Burke,,,97,1,110,0,208
Danville,,,244,7,286,1,538
Fairlee,,,104,2,130,0,236
Groton,,,62,3,87,0,152
Hardwick,,,233,4,285,0,522
Kirby,,,63,4,81,0,148
Lyndon,,,180,6,208,0,394
Newark,,,60,5,71,0,136
Newbury,,,210,3,236,1,450
Orange,,,69,3,92,0,164
Peacham,,,144,1,161,0,306
Ryegate,,,97,5,103,3,208
Sheffield,,,40,10,52,0,102
"St. Johnsbury",,,441,34,476,3,954
Stannard,,,28,2,34,0,64
Sutton,,,59,4,75,0,138
Topsham,,,63,0,75,0,138
Walden,,,102,1,126,1,230
Waterford,,,62,0,68,0,130
"W. Fairlee",,,37,0,55,0,92
Wheelock,,,61,2,83,0,146
TOTALS,,,"2,833",108,"3,338",9,"6,288"
