City/Town,Ward,Pct,"Joseph Parsons",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Groton,,,77,2,43,0,122
Newbury,,,130,1,50,0,181
Topsham,,,75,1,37,1,114
TOTALS,,,282,4,130,1,417
