City/Town,Ward,Pct,"Fred K. Baser","Valerie Mullin",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Bristol,,,237,214,4,115,0,570
Lincoln,,,78,70,0,78,2,228
Monkton,,,118,147,8,91,0,364
Starksboro,,,118,114,0,88,0,320
TOTALS,,,551,545,12,372,2,"1,482"
