City/Town,Ward,Pct,"Katherine Sims",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Eden,,,67,6,10,0,83
Jay,,,30,4,2,0,36
Lowell,,,37,15,8,1,61
Troy,,,82,5,13,0,100
Westfield,,,64,5,7,0,76
TOTALS,,,280,35,40,1,356
