City/Town,Ward,Pct,"Ron Holland","Judith Jackson",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Coventry,,,44,39,4,33,0,120
Irasburg,,,65,58,13,28,0,164
"Newport City",,,180,142,34,150,0,506
"Newport Town",,,51,44,4,63,0,162
Troy,,,13,8,3,14,0,38
TOTALS,,,353,291,58,288,0,990
