City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Castleton,,,-,19,492,1,512
"Fair Haven",,,-,18,256,0,274
Hubbardton,,,-,3,101,0,104
"W. Haven",,,-,5,34,1,40
TOTALS,,,-,45,883,2,930
