City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Belvidere,,,-,0,2,0,2
"Hyde Park",,,-,3,1,0,4
Wolcott,,,-,2,2,0,4
TOTALS,,,-,5,5,0,10
