City/Town,Ward,Pct,"Susan M. Buckholz",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Barnard,,,118,1,31,0,150
Hartford,,,211,7,35,0,253
Pomfret,,,183,0,21,2,206
TOTALS,,,512,8,87,2,609
