City/Town,Ward,Pct,"Brian K. Savage","Marianna Gamache","Jamie Carter",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Sheldon,,,86,89,71,5,53,0,304
Swanton,,,455,367,94,12,150,0,"1,078"
TOTALS,,,541,456,165,17,203,0,"1,382"
