City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Braintree,,,99,2,18,0,119
Brookfield,,,160,7,17,0,184
Chelsea,,,104,3,12,1,120
Corinth,,,146,3,0,21,170
Randolph,,,440,9,85,8,542
Strafford,,,248,4,52,0,304
Thetford,,,559,6,74,2,641
Tunbridge,,,145,5,23,1,174
Vershire,,,77,1,10,0,88
Washington,,,69,2,13,1,85
Williamstown,,,165,14,24,1,204
TOTALS,,,"2,212",56,328,35,"2,631"
