City/Town,Ward,Pct,"Bill Botzow",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Pownal,,,176,1,10,0,187
Woodford,,,29,0,2,0,31
TOTALS,,,205,1,12,0,218
