City/Town,Ward,Pct,"Stephen W. Webster",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Braintree,,,102,2,14,0,118
Brookfield,,,134,1,20,0,155
Chelsea,,,114,10,27,1,152
Corinth,,,69,5,23,1,98
Randolph,,,334,1,49,3,387
Strafford,,,36,0,17,0,53
Thetford,,,98,2,27,0,127
Tunbridge,,,99,5,27,0,131
Vershire,,,44,0,13,0,57
Washington,,,81,2,33,0,116
Williamstown,,,272,41,46,0,359
TOTALS,,,"1,383",69,296,5,"1,753"
