City/Town,Ward,Pct,"Steve Berry","Cynthia Browning",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Arlington,,,138,173,2,112,1,426
Manchester,,,309,192,9,248,0,758
Sandgate,,,31,40,0,27,0,98
Sunderland,,,44,37,0,27,0,108
TOTALS,,,522,442,11,414,1,"1,390"
