City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Eden,,,84,7,15,0,106
Jay,,,31,0,6,0,37
Lowell,,,100,7,2,0,109
Troy,,,51,3,8,1,63
Westfield,,,45,1,10,0,56
TOTALS,,,311,18,41,1,371
