City/Town,Ward,Pct,"John C. Churchman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Essex,,,235,0,62,0,297
Westford,,,164,3,57,0,224
TOTALS,,,399,3,119,0,521
