City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bradford,,,210,4,23,0,237
Fairlee,,,101,2,15,0,118
"W. Fairlee",,,40,0,6,0,46
TOTALS,,,351,6,44,0,401
