City/Town,Ward,Pct,"Stephen A. Carr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Brandon,,,335,15,398,0,748
Pittsford,,,174,14,248,0,436
Sudbury,,,53,2,72,1,128
TOTALS,,,562,31,718,1,"1,312"
