City/Town,Ward,Pct,"Daniel Nadeau",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Franklin,,,5,5,2,0,12
Highgate,,,2,4,2,0,8
Richford,,,3,3,2,0,8
TOTALS,,,10,12,6,0,28
