City/Town,Ward,Pct,"Joe Benning",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Barnet,,,151,1,208,0,360
Bradford,,,117,11,172,0,300
Burke,,,118,3,158,1,280
Danville,,,203,4,313,0,520
Fairlee,,,49,2,83,0,134
Groton,,,88,4,152,0,244
Hardwick,,,180,2,302,0,484
Kirby,,,73,2,99,0,174
Lyndon,,,332,17,386,5,740
Newark,,,52,0,68,0,120
Newbury,,,141,1,219,1,362
Orange,,,106,6,185,1,298
Peacham,,,69,2,111,4,186
Ryegate,,,86,4,118,2,210
Sheffield,,,42,10,54,0,106
"St. Johnsbury",,,439,26,549,0,"1,014"
Stannard,,,6,3,9,0,18
Sutton,,,65,3,82,0,150
Topsham,,,86,1,139,2,228
Walden,,,82,7,125,0,214
Waterford,,,124,4,164,2,294
"W. Fairlee",,,23,1,41,1,66
Wheelock,,,72,3,93,2,170
TOTALS,,,"2,704",117,"3,830",21,"6,672"
