City/Town,Ward,Pct,"Kevin ""Sarge"" Stuart","Charlie Davenport",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Hartford,,,214,210,8,159,1,592
TOTALS,,,214,210,8,159,1,592
