City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Elmore,,,-,0,2,0,2
Morristown,,,-,9,5,0,14
Worcester,,,-,4,6,0,10
TOTALS,,,-,13,13,0,26
