City/Town,Ward,Pct,"Dan Feliciano",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Plymouth,,,52,0,23,0,75
Pomfret,,,39,1,31,0,71
Poultney,,,109,0,60,0,169
Pownal,,,72,0,43,0,115
Proctor,,,95,0,45,0,140
Putney,,,35,0,26,0,61
Randolph,,,262,1,123,1,387
Reading,,,20,0,20,0,40
Readsboro,,,18,0,17,0,35
Richford,,,78,2,43,0,123
Richmond,,,211,2,113,0,326
Ripton,,,13,1,15,0,29
Rochester,,,48,2,40,2,92
Rockingham,,,76,0,57,1,134
Roxbury,,,36,0,42,0,78
Royalton,,,94,1,41,0,136
Rupert,,,36,0,14,0,50
"Rutland City",-,"Rutland 5-1",263,0,170,7,440
"Rutland City",-,"Rutland 5-2",204,0,102,2,308
"Rutland City",-,"Rutland 5-3",95,0,55,2,152
"Rutland City",-,"Rutland 5-4",158,3,100,1,262
"Rutland Town",,,330,1,192,0,523
Ryegate,,,72,1,31,1,105
Salisbury,,,50,1,27,0,78
Sandgate,,,23,0,9,0,32
Searsburg,,,6,0,4,0,10
Shaftsbury,,,93,3,57,0,153
Sharon,,,44,0,24,0,68
Sheffield,,,31,1,21,0,53
Shelburne,-,"Chittenden 5-1",263,5,160,1,429
Shelburne,-,"Chittenden 5-2",220,1,124,0,345
Sheldon,,,95,5,52,0,152
Shoreham,,,50,0,33,0,83
Shrewsbury,,,74,0,43,0,117
"S. Burlington",-,"Chittenden 7-1",237,1,121,0,359
"S. Burlington",-,"Chittenden 7-2",295,4,153,0,452
"S. Burlington",-,"Chittenden 7-3",157,1,92,3,253
"S. Burlington",-,"Chittenden 7-4",225,1,130,0,356
"S. Hero",,,158,3,114,0,275
Springfield,-,"Windsor 3-1",12,0,7,0,19
Springfield,-,"Windsor 3-2",301,2,128,2,433
"St. Albans City",,,277,12,0,132,421
"St. Albans Town",-,"Franklin 3-1",135,3,59,1,198
"St. Albans Town",-,"Franklin 3-2",291,19,151,1,462
"St. George",,,33,2,9,1,45
"St. Johnsbury",,,340,7,160,0,507
Stamford,,,24,0,6,0,30
Stannard,,,7,0,2,0,9
Starksboro,,,113,0,47,0,160
Stockbridge,,,46,2,22,0,70
Stowe,,,267,5,149,0,421
Strafford,,,24,0,29,0,53
Stratton,,,19,0,5,0,24
Sudbury,,,37,0,19,0,56
Sunderland,-,"Bennington 3",3,0,6,0,9
Sunderland,-,"Bennington 4",28,0,14,0,42
Sutton,,,48,1,0,26,75
Swanton,,,364,9,166,0,539
Thetford,,,78,0,49,0,127
Tinmouth,-,"Rutland 2",5,0,1,0,6
Tinmouth,-,Rutland-Bennington,17,0,8,0,25
Topsham,,,65,0,49,0,114
Townshend,,,30,0,25,0,55
Troy,-,"Orleans 2",16,0,8,0,24
Troy,-,Orleans-Lamoille,37,0,26,0,63
Tunbridge,,,68,5,58,0,131
Underhill,,,222,2,93,0,317
Vergennes,,,119,3,64,0,186
Vernon,,,164,1,131,0,296
Vershire,,,32,0,25,0,57
Victory,,,16,2,5,0,23
Waitsfield,,,115,2,73,0,190
Walden,,,63,3,41,0,107
Wallingford,,,113,0,48,0,161
Waltham,,,29,0,20,0,49
Wardsboro,,,30,0,14,0,44
Warren,,,80,0,41,1,122
Washington,,,66,0,50,0,116
Waterbury,,,256,3,190,1,450
Waterford,,,97,1,49,0,147
Waterville,,,40,1,33,0,74
Weathersfield,,,163,0,65,0,228
Wells,,,62,0,25,0,87
"W. Fairlee",,,22,1,10,0,33
"W. Haven",,,11,0,7,0,18
"W. Rutland",,,139,0,47,0,186
"W. Windsor",,,53,2,25,0,80
Westfield,,,34,0,22,0,56
Westford,,,129,0,61,0,190
Westminster,-,"Windham 3",5,0,2,0,7
Westminster,-,"Windham 4",72,0,29,1,102
Westmore,,,23,0,21,0,44
Weston,,,22,0,28,0,50
Weybridge,,,55,0,17,0,72
Wheelock,,,50,2,31,2,85
Whiting,,,16,2,11,0,29
Whitingham,-,"Windham 6",35,0,21,0,56
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,235,18,106,0,359
Williston,,,581,2,276,3,862
Wilmington,,,55,0,40,0,95
Windham,,,8,0,7,0,15
Windsor,,,89,0,31,0,120
Winhall,,,46,2,32,2,82
Winooski,,,133,1,85,0,219
Wolcott,,,69,2,60,0,131
Woodbury,,,66,3,50,0,119
Woodford,,,8,0,3,0,11
Woodstock,,,115,3,66,0,184
Worcester,,,45,2,47,0,94
TOTALS,,,"29,753",517,"15,717",407,"46,394"
