City/Town,Ward,Pct,"John Moran",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Dover,,,74,28,15,0,117
Readsboro,,,48,2,11,0,61
Searsburg,,,2,1,0,0,3
Stamford,,,46,4,7,0,57
Wardsboro,,,62,2,13,0,77
Whitingham,,,3,0,1,0,4
TOTALS,,,235,37,47,0,319
