City/Town,Ward,Pct,"Alice Miller",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Shaftsbury,,,260,1,28,0,289
Sunderland,,,16,0,0,0,16
TOTALS,,,276,1,28,0,305
