City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Marlboro,,,-,1,26,0,27
Newfane,,,-,9,101,0,110
Townshend,,,-,3,51,1,55
TOTALS,,,-,13,178,1,192
