City/Town,Ward,Pct,"Annmarie Christensen",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cavendish,,,121,0,18,1,140
Weathersfield,,,303,6,24,0,333
TOTALS,,,424,6,42,1,473
