City/Town,Ward,Pct,"Lawrence W. Hamel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Hardwick,,,187,1,54,0,242
Stannard,,,4,3,2,0,9
Walden,,,86,0,21,0,107
TOTALS,,,277,4,77,0,358
