City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Sheldon,,,-,4,2,0,6
Swanton,,,-,2,2,0,4
TOTALS,,,-,6,4,0,10
