City/Town,Ward,Pct,"David Zuckerman","Boots Wardinski",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"S. Burlington",-,"Chittenden 7-4",2,0,2,0,4
"S. Hero",,,0,2,1,0,0,3
Springfield,-,"Windsor 3-1",0,0,0,0,0
Springfield,-,"Windsor 3-2",1,0,0,0,1
"St. Albans City",,,6,7,2,0,3,18
"St. Albans Town",-,"Franklin 3-1",0,1,0,0,1
"St. Albans Town",-,"Franklin 3-2",0,1,1,0,2
"St. Johnsbury",,,3,2,0,0,0,5
Stockbridge,,,0,1,0,1,0,2
Sudbury,,,0,1,0,0,0,1
Swanton,,,1,1,0,0,0,2
Thetford,,,0,1,0,0,0,1
Tinmouth,-,"Rutland 2",0,0,0,0,0
Tinmouth,-,Rutland-Bennington,1,0,1,0,2
Troy,-,"Orleans 2",0,0,0,0,2
Troy,-,Orleans-Lamoille,2,0,0,0,2
Tunbridge,,,4,0,0,1,0,5
Underhill,,,5,0,0,0,0,5
Vergennes,,,2,0,0,3,0,5
Vernon,,,0,0,0,2,0,2
Vershire,,,0,2,0,0,0,2
Waitsfield,,,0,0,1,0,0,1
Walden,,,1,3,0,1,0,5
Wallingford,,,0,2,0,1,0,3
Warren,,,1,0,0,0,0,1
Washington,,,0,2,0,0,0,2
Waterbury,,,1,0,1,0,0,2
Weathersfield,,,2,1,0,0,0,3
Wells,,,0,1,0,1,0,2
"W. Rutland",,,0,2,0,0,0,2
Westford,,,1,1,0,0,0,2
Westminster,-,"Windham 3",0,0,0,0,0
Westminster,-,"Windham 4",0,1,0,1,3
Weybridge,,,0,2,0,0,0,2
Wheelock,,,0,0,1,0,0,1
Williamstown,,,0,0,3,0,0,3
Williston,,,3,1,0,0,0,4
Windham,,,0,1,0,0,0,1
Windsor,,,1,0,0,0,0,1
Winhall,,,0,0,0,2,0,2
Winooski,,,6,4,0,2,0,12
Wolcott,,,0,0,2,0,0,2
Woodstock,,,0,3,2,0,0,5
Worcester,,,2,1,1,1,0,5
TOTALS,,,228,150,72,114,12,576
