City/Town,Ward,Pct,"Patrick Leahy","Cris Ericson",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Proctor,,,100,11,1,3,0,115
Putney,,,385,31,1,15,0,432
Randolph,,,459,63,4,14,2,542
Reading,,,112,15,2,6,1,136
Readsboro,,,51,4,0,6,0,61
Richford,,,100,15,0,3,0,118
Richmond,,,788,72,0,27,0,887
Ripton,,,115,9,0,4,0,128
Rochester,,,163,26,2,6,1,198
Rockingham,,,457,88,4,22,0,571
Roxbury,,,71,10,0,4,0,85
Royalton,,,260,41,2,13,0,316
Rupert,,,81,16,0,0,0,97
"Rutland City",-,"Rutland 5-1",326,33,0,16,2,377
"Rutland City",-,"Rutland 5-2",223,32,0,3,2,260
"Rutland City",-,"Rutland 5-3",115,22,0,7,1,145
"Rutland City",-,"Rutland 5-4",209,26,0,11,4,250
"Rutland Town",,,304,33,2,7,0,346
Ryegate,,,90,9,1,3,1,104
Salisbury,,,114,5,0,3,0,122
Sandgate,,,43,4,0,2,0,49
Searsburg,,,3,0,0,0,0,3
Shaftsbury,,,248,32,0,9,0,289
Sharon,,,200,22,2,9,2,235
Sheffield,,,40,5,2,4,0,51
Shelburne,-,"Chittenden 5-1",833,58,1,32,0,924
Shelburne,-,"Chittenden 5-2",473,32,4,22,0,531
Sheldon,,,69,14,4,3,0,90
Shoreham,,,141,20,0,5,0,166
Shrewsbury,,,127,11,0,3,0,141
"S. Burlington",-,"Chittenden 7-1",737,60,1,34,0,832
"S. Burlington",-,"Chittenden 7-2",687,50,3,38,2,780
"S. Burlington",-,"Chittenden 7-3",576,61,1,17,0,655
"S. Burlington",-,"Chittenden 7-4",498,101,2,32,0,633
"S. Hero",,,416,49,2,22,0,489
Springfield,-,"Windsor 3-1",28,5,1,2,0,36
Springfield,-,"Windsor 3-2",613,145,3,24,0,785
"St. Albans City",,,403,49,4,0,7,463
"St. Albans Town",-,"Franklin 3-1",111,19,2,3,0,135
"St. Albans Town",-,"Franklin 3-2",262,26,7,3,0,298
"St. George",,,62,9,0,1,1,73
"St. Johnsbury",,,406,57,4,10,0,477
Stamford,,,50,2,0,5,0,57
Stannard,,,28,3,0,1,0,32
Starksboro,,,232,36,1,4,0,273
Stockbridge,,,74,16,2,2,0,94
Stowe,,,593,35,1,27,0,656
Strafford,,,260,32,1,11,0,304
Stratton,,,10,4,0,0,0,14
Sudbury,,,56,7,0,1,0,64
Sunderland,-,"Bennington 3",15,1,0,0,0,16
Sunderland,-,"Bennington 4",46,7,0,1,0,54
Sutton,,,48,14,1,6,0,69
Swanton,,,274,47,6,8,0,335
Thetford,,,574,43,1,23,0,641
Tinmouth,-,"Rutland 2",12,3,1,0,0,16
Tinmouth,-,Rutland-Bennington,50,7,0,1,0,58
Topsham,,,57,8,0,4,0,69
Townshend,,,128,17,2,10,0,157
Troy,-,"Orleans 2",14,2,0,3,0,19
Troy,-,Orleans-Lamoille,77,15,2,6,0,100
Tunbridge,,,156,12,3,3,0,174
Underhill,,,471,31,2,15,0,519
Vergennes,,,240,32,2,7,0,281
Vernon,,,159,27,4,18,0,208
Vershire,,,76,11,0,1,0,88
Victory,,,4,2,1,0,0,7
Waitsfield,,,306,32,3,14,0,355
Walden,,,77,32,1,5,0,115
Wallingford,,,164,20,1,5,0,190
Waltham,,,61,5,0,4,0,70
Wardsboro,,,65,6,1,5,0,77
Warren,,,260,22,0,13,0,295
Washington,,,72,9,1,3,0,85
Waterbury,,,884,66,0,34,2,986
Waterford,,,56,6,0,3,0,65
Waterville,,,62,3,0,4,0,69
Weathersfield,,,250,65,2,16,0,333
Wells,,,59,7,0,1,0,67
"W. Fairlee",,,38,5,0,3,0,46
"W. Haven",,,15,5,0,0,0,20
"W. Rutland",,,91,16,1,1,0,109
"W. Windsor",,,183,26,2,11,0,222
Westfield,,,54,15,3,4,0,76
Westford,,,188,27,0,9,0,224
Westminster,-,"Windham 3",13,4,0,0,0,17
Westminster,-,"Windham 4",409,47,6,18,1,481
Westmore,,,26,9,0,1,0,36
Weston,,,115,15,0,7,1,138
Weybridge,,,174,9,1,5,0,189
Wheelock,,,57,12,0,4,0,73
Whiting,,,30,2,0,2,0,34
Whitingham,-,"Windham 6",62,12,1,4,0,79
Whitingham,-,Windham-Bennington,3,1,0,0,0,4
Williamstown,,,160,23,10,7,4,204
Williston,,,"1,058",101,2,45,0,"1,206"
Wilmington,,,154,20,0,6,0,180
Windham,,,72,16,1,5,1,95
Windsor,,,404,76,3,20,0,503
Winhall,,,88,7,1,6,0,102
Winooski,,,664,135,4,59,0,862
Wolcott,,,132,15,4,6,0,157
Woodbury,,,123,22,1,3,0,149
Woodford,,,24,6,0,1,0,31
Woodstock,,,661,87,7,51,0,806
Worcester,,,213,41,1,11,0,266
TOTALS,,,"62,249","7,596",424,"2,832",61,"73,162"
